NUMERO AGENCIA,RAZON SOCIAL,ESTADO1,TELEFONO,EJECUTIVO,CIUDAD,MUNICIPIO,PROVINCIA,LONGITUD,LATITUD,CALLE,SECTOR,Com.Aplicada,Com.Faltante,Descuento_ISR
120024,CAFETERIA BELKIS,A,0000000000,RD.DRosarioR,"VILLA HERMOSA, LA ROMANA",N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
120025,CAFETERIA BRANQUI,A,0000000000,RD.DRosarioR,"VILLA DUARTE, STO. DGO. ESTE",N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
120278,COLMADO POLANCO,A,0000000000,RD.ASalcedo.LSalcedo,DON PEDRO,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
120317,COLMADO LA ECONOMIA,A,0000000000,RD.DRosarioR,"LOS MAMEYES, STO. DGO. ESTE",N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
120406,LA BODEGUITA,A,0000000000,RD.WPerez,SANTO DOMINGO ESTE,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
120757,CHIMBALA 1,A,0000000000,RD.ASalcedo.GSalcedo,LOS BUENO,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
121135,SUPER COLMADO WENDOLY,A,0000000000,RD.CPeña.CPena,PEQUIN,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
121371,COL MARGARO PRIETO,A,0000000000,RD.MGarciaJavier,BARRIO 24 DE ABRIL (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
121659,LA MARQUESINA,A,0000000000,RD.MCastillo,HIGUEY,N/A,La Altagracia,,,N/A,N/A,8.11,5.89,10
121867,COLMMADO MIGUEL II MAMEYE,A,0000000000,RD.DRosarioR,LO MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
122041,CAFETERIA LA JAVILLA,A,0000000000,RD.DRosarioR,LOS MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
122043,COLMADO MINERVA 2,A,0000000000,RD.DRosarioR,LOS MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
122350,EL CAÑO,A,0000000000,RD.MGarciaJavier.FHidalgo,YAMASA,N/A,Monte Plata,,,N/A,N/A,8.11,5.89,10
123227,COLMADO LEONIDAS,A,0000000000,RD.DRosarioR,LOS MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
123467,COLMADO HANSEL YUMA,A,0000000000,RD.DSantana,LA ROMANA,N/A,La Romana,,,N/A,N/A,8.11,5.89,10
123678,COLMADO FRANK,A,0000000000,RD.ECollado.RValenzuela,SIMON BOLIVAR,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
123696,FERRETERIA EL EDEN,A,0000000000,RD.DPaulino,MENDOZA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
123917,COLMADO SHEYLA,A,0000000000,RD.ECollado.ELara,SAN CRISTOBAL,N/A,San Cristóbal,,,N/A,N/A,8.11,5.89,10
123926,SUPERMERCADO CALDERON LA TOMA,A,0000000000,RD.ECollado.ELara,SAN CRISTOBAL,N/A,San Cristóbal,,,N/A,N/A,8.11,5.89,10
124437,COLMADO EL CHOCHO,A,0000000000,RD.JBoves,SAN JOSE DE OCOA,N/A,San José de Ocoa,,,N/A,N/A,8.11,5.89,10
124749,FERRETERIA DELIA,A,0000000000,RD.ECollado.ELara,MIRAMAR,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
124862,COL TRUJILLO,A,0000000000,RD.MGarciaJavier.EMontero,SANTO DOMINGO NORTE,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
124869,GRUPO G4S,A,0000000000,RD.JMella,GAZCUE (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
124870,PARADA DEL 5TO,A,0000000000,RD.JMella,DON BOSCO (SANTO DOMINGO),N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
124962,CAFETERIA SHELY SERGIO,A,0000000000,RD.DRosarioR,LO MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
124977,MAGALY RECARGA,A,0000000000,RD.Almonte.RMarte,LICEY,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
125082,BANCA MINYETI,A,0000000000,RD.JMella,ENS.QUISQUEYA (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
125124,CAFETERÍA BUKI,A,0000000000,RD.MGarciaJavier.FHidalgo,YAMASA MONTE PLATA,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
126195,CAFETERIA QUINTO PATIO,A,0000000000,RD.Almonte,SANTIAGO,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
126230,COLMADO LA ECONOMIA FAUTO,A,0000000000,RD.MGarciaJavier,"GUARICANO , CUIDAD MODELO (SANTO DOMINGO NORTE)",N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
